smiles,P2,P1,P3,P4,P5,P6,P7,P8,P9
COC(=O)c1cc(Br)c(=O)n(Cc2ccc(C(=O)O)cc2)c1,0,1,1,1,1,1,1,1,0
O=c1cc(CSc2ccc(S(=O)(=O)N3CCCCC3)cn2)nc2sccn12,1,1,1,1,0,1,1,1,0
COc1cc(NC(=O)CSc2nc3cc(C)ccc3cc2C)c(C(=O)O)cc1OC,1,1,1,1,1,1,1,1,1
Cc1cc(C(=O)CSc2n[nH]c(-c3ccccc3F)n2)c(C)n1Cc1cccs1,1,1,1,1,1,1,1,1,1
O=C1CCCC2=C1C(Cc1ccccc1)C1=C(CCCC1=O)O2,1,1,1,1,1,0,0,1,0
CCOC(=O)c1ccccc1NC(=O)CSc1ncc(C(=O)OCC)c(N)n1,1,1,1,0,0,1,1,1,0
COC(=O)c1[nH]c2cccc(OC)c2c1NC(=O)CCN1CCN(c2ccccc2OC)CC1,0,1,1,0,1,1,1,0,0
O=C(c1cc2ccccc2oc1=O)N1CCN(CCc2ccccc2)CC1,0,1,0,1,1,1,0,1,0
CS(=O)(=O)N1CCN(C/C=C/c2ccccc2)CC1,1,1,1,1,1,1,1,1,1
CCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2Cc1ccc2c(c1)OCO2,1,1,0,1,1,1,1,1,1
N#Cc1c(N)n(CCOC(=O)c2cccc(Br)c2)c2nc3ccccc3nc12,1,1,1,1,1,1,0,1,0
CC(=O)Nc1nc2c(c3c1c(=O)oc1ccccc13)CC(C)CC2,1,1,0,1,1,1,1,1,1
Cc1ccnc(N2CCC(C(=O)Nc3ccc(Oc4ccccc4)cc3)CC2)n1,0,1,0,0,1,1,1,1,1
CCC(=O)N1CCc2cc(Br)cc(S(=O)(=O)N3CCN(C(=O)c4ccco4)CC3)c21,1,1,1,1,1,1,1,1,1
Cc1ccc2[nH]c3c(c2c1)CN(C(=O)CN1CCN(Cc2ccc4c(c2)OCO4)CC1)CC3,1,1,0,1,1,1,0,1,1
O=C1C2C(C(=O)N1CCc1ccccc1)C1C=CC2C12CC2,1,1,1,1,1,1,1,1,1
CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=O)c1cccc(OC)c1,1,1,1,1,1,0,1,1,0
O=C(Cc1cc(=O)oc2cc(O)ccc12)NCC1CCC(C(=O)O)CC1,1,1,0,1,1,1,1,1,1
Cc1cc(=O)nc(SCC(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)[nH]1,1,1,1,1,0,1,1,1,0
COc1cccc(N2C(=O)CC(c3c[nH]c4ccccc34)C2=O)c1,0,1,1,1,1,1,1,1,0
Cc1ccc(O)c(NC(=O)c2ccc(-c3ccccc3)cc2)c1,1,1,1,1,1,0,1,1,1
O=C(CCC(=O)c1cccs1)OCC(=O)N1CCN(C(=O)c2ccco2)CC1,1,1,1,1,1,1,1,1,1
CN(C)c1oc(-c2ccccc2F)nc1C#N,1,1,1,0,1,1,0,1,1
Cc1ccc(CNC(=O)COC(=O)c2ccc(S(=O)(=O)N(C)C)cc2)cc1,1,1,1,1,1,1,1,1,1
COc1cccc(OC)c1C(=O)NC(=S)Nc1ccc2c(c1)C(=O)N(C)C2=O,1,1,1,1,1,1,1,1,1
O=C(NCC1CCCO1)c1coc2nc3ccccc3nc12,1,0,1,0,0,1,1,0,1
N#CC12CCCCC1CC1CCCCC1(C#N)N2Cc1ccccn1,1,0,1,1,1,1,1,1,1
O=C1C2(c3ccccc3)CN(CCCO)CC1(c1ccccc1)CN(CCCO)C2,0,1,1,1,1,1,1,1,1
Cc1cc(C)nc(N2CCCC(C(=O)NCc3ccccc3)C2)n1,1,1,1,1,1,1,1,1,1
C=CCNC(=S)Nc1ccc(Br)cc1F,1,1,1,1,1,1,1,1,1
O=C(Nc1cccc(Cl)c1)Nc1nnc(COc2ccc(F)cc2)s1,1,1,1,1,1,0,1,1,1
O=C(Cn1c2c(c(-c3ccccc3)cc1=O)CCCC2)N1CCCCCC1,0,1,1,1,1,1,1,1,1
COC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(OCc2ccc([N+](=O)[O-])cc2)cc1,1,1,1,1,1,0,1,1,1
O=C(NCCc1ccccc1)c1ccc2c(c1)N(Cc1ccccc1)C(=O)CS2=O,1,1,1,1,1,1,1,0,1
COc1ccc(C(O)c2nc3ccccc3n2C)cc1OC,1,1,1,1,0,1,0,1,1
COc1ccccc1OCC(=O)NCCSCc1ccc(Cl)cc1,1,1,1,1,1,1,1,1,1
COc1ccccc1Nc1nc(N)nc(CN2CCCCCC2)n1,1,0,1,1,1,1,1,1,1
Cc1noc(C)c1COc1ccc(C(=O)NCCc2ccccn2)cc1,1,1,1,1,1,1,1,1,1
Cn1ncc(C#N)c1NC(=O)c1cc(-c2ccccc2Cl)on1,1,1,1,1,1,0,1,1,1
CCOC(=O)C(C(=O)Nc1cccc(C)n1)C1CCCCC1,1,1,1,1,0,0,1,1,0
Cn1c(COc2ccccc2)nnc1SCC(=O)Nc1ccc(N2CCOCC2)c(Cl)c1,0,1,0,1,0,1,1,1,0
CCN(Cc1cc2cc(OC)ccc2[nH]c1=O)C(=O)c1ccncc1,1,1,0,1,0,1,1,0,0
CC1=C(C#N)C(=O)NC(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1,1,1,1,1,1,1,1,1,1
COC(=O)c1ccc(/C=C2\SC(=S)N(c3ccc(F)cc3)C2=O)cc1,1,1,1,1,1,0,1,1,1
O=C(/C=C/c1ccco1)NCCc1ccccc1,1,1,1,1,1,1,1,1,1
O=C(O)C1CC1c1ccc(Br)cc1,0,1,1,1,1,1,1,1,1
COc1ccc(C(=O)Nc2cc3c(cc2Cl)OCCCO3)cc1,1,1,1,1,1,1,1,1,1
Cc1cc(C(=O)CSc2nncs2)c(C)n1-c1ccc2c(c1)OCO2,0,1,0,1,0,1,1,1,0
Cc1cc(C)nc(N/N=C/c2cccc(Cl)c2)n1,1,1,1,1,1,1,1,1,1
COc1ccc(NCC(=O)Nc2ccc(Cl)cc2C)c(OC)c1,1,1,0,1,1,1,0,1,1
CCOC(=O)N1CCN(c2c(N3CCC(N4CCCCC4)CC3)c(=O)c2=O)CC1,1,1,1,1,1,0,0,1,1
CCOc1ccccc1NC(=O)Cn1c(=O)c2ccccc2n(CC)c1=O,1,1,1,1,1,1,1,1,1
CC1CCN(CCC(=O)N2CCCc3c2c(=O)oc2ccc(O)cc32)CC1,0,1,1,1,1,1,1,1,1
N#CCSc1nnc(Cc2cccs2)n1C1CCCCC1,0,1,0,1,0,1,1,1,1
COc1ccc(O)c(/C=c2\sc3nc4cc(C)c(C)cc4n3c2=O)c1,0,1,1,1,1,1,1,0,1
Cc1occc1C(=O)Nc1ccc2c(c1)OCO2,1,1,1,1,1,1,1,1,0
O=C(CCn1nnc2ccccc2c1=O)NC(Cc1ccccc1)C(=O)O,1,1,1,0,1,0,1,1,1
Cn1cnnc1SCC(=O)Nc1cccc(C(=O)O)c1,1,1,1,1,1,1,1,1,1
CC(C)(C)c1ccc(COn2c(=O)c(-c3ccco3)[n+]([O-])c3ccccc32)cc1,1,1,1,1,1,1,1,1,1
Brc1ccc(COn2ccnc2)cc1,1,1,1,1,1,1,1,1,1
O=c1c2ccccc2nc(-c2ccc(Cl)cc2Cl)n1-c1ccncc1,1,1,1,1,1,0,1,1,1
CCn1cc(C(=O)N2CCCC2)c(=O)c2cc(S(=O)(=O)N(C)C)ccc21,0,1,1,1,1,1,1,1,1
CCOc1ccc(NC(=O)C2C3C=CC4(CN(C(C(=O)OC)C(C)C)C(=O)C24)O3)cc1,0,1,1,1,1,1,1,0,1
Cc1cc(C(=O)N/N=C/c2cccc([N+](=O)[O-])c2)c(C)o1,1,1,1,1,1,0,1,1,1
CCOC(=O)N1CCN(C(=O)Nc2ccc(Cl)cc2Cl)CC1,1,1,1,1,1,1,1,1,1
CC(C)Cc1cc(C(=O)Nc2cc(Cl)ccc2Cl)no1,0,1,1,1,1,1,1,1,1
Cc1cc(NC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)no1,1,1,1,1,1,1,1,1,1
COc1cccc(C2CC(=O)N3CN(c4ccccc4F)CSC3=C2C#N)c1,0,1,1,0,1,1,1,1,1
COCCCNC(=O)c1c(-c2ccccc2)noc1C,1,1,1,1,1,0,1,1,1
CC(C)N1CCC2(CC1)NC(CO)(CO)CO2,1,1,1,1,0,1,1,1,1
CCOC(=O)C(C#N)C(Cc1ccccc1)c1ccco1,1,1,1,0,1,1,0,1,1
CCOc1cc2[nH]c(=S)n(CCCC(=O)NCc3ccco3)c(=O)c2cc1OCC,1,1,0,1,0,1,1,1,0
Cc1cc(C(=O)N(C)C)sc1-c1ccccc1,1,1,1,1,1,1,1,1,1
CCOC(=O)c1c(C)[nH]c(-c2csc(C)n2)c1C,1,1,1,1,1,1,1,1,1
Cn1nc(C(=O)Nc2cccnc2)c2ccccc2c1=O,1,0,0,0,1,1,0,0,0
O=c1cc(N2CCc3ccccc32)[nH]c(=O)n1-c1ccccc1,1,0,1,1,1,1,1,1,1
COc1cccc(C2=NOC(C(=O)Nc3cccc(C(C)=O)c3)C2)c1,1,1,1,0,1,1,1,1,1
Cc1ccc(NC(=O)CCn2cccc2)cc1,1,1,1,1,1,0,1,1,1
CCOCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2-c1ccc(C)cc1,1,0,0,1,1,1,1,1,1
Cc1ccc2c(c1)C1CN(C)CCC1N2C(=O)Nc1cccc(C(F)(F)F)c1,0,1,1,1,1,1,0,1,1
O=C(/C=C/c1ccccc1)NCCSc1ccc(Cl)cc1,1,1,1,1,1,1,1,1,1
Cc1c(NC(=O)CSC2=C(C#N)C(c3ccccc3F)CC(=O)N2)c(=O)n(-c2ccccc2)n1C,0,1,1,0,1,1,1,1,1
COc1ccc(-n2c(C)nc3cc(C(=O)NCc4ccco4)ccc32)cc1,0,0,1,1,1,1,1,0,0
CCOC(=O)C1CCN(C(=O)Nc2ccc(NC(=O)C3CCN(C(=O)OCC)CC3)cc2)CC1,1,1,1,1,1,1,1,0,0
CCN(CC)S(=O)(=O)c1ccc(C(=O)NCc2n[nH]c(=S)n2Cc2ccccc2)cc1,1,0,1,1,0,0,1,1,1
CC(=O)c1ccc(NC(=O)C2(c3ccccc3)CCOCC2)cc1,1,1,1,1,1,0,1,1,0
Cc1cc(C)c(C#N)c(SC(F)F)n1,1,1,1,1,1,1,1,1,1
COc1ccc(CCNC(=O)CSc2cccc3cccnc23)cc1OC,1,1,1,1,1,0,1,1,1
CCOc1ccc(NC(=O)C2CC(=O)N(c3cc(C)cc(C)c3)C2)cc1,0,0,1,0,1,1,0,1,1
O=C(c1ccccc1)c1ccccc1C(=O)N1CCN(C(=O)c2ccccc2)CC1,1,1,1,1,1,1,1,1,1
COc1ccc(N2CCCn3c2nc2c3c(=O)n(Cc3ccccc3F)c(=O)n2C)cc1,1,1,1,1,1,0,1,1,1
CCS(=O)(=O)N1CCN(c2ccc(C(=O)NC34CC5CC(CC(C5)C3)C4)cc2[N+](=O)[O-])CC1,1,1,1,1,1,1,1,1,1
CC(C)OCCCn1c(=N)c(C(N)=S)cc2c(=O)n3ccccc3nc21,1,0,1,1,1,1,1,1,1
CCN1CCN(CC(=O)n2c3c(c4ccccc42)CC(C)CC3)CC1,1,0,0,1,0,1,1,1,1
CC1CCCN(C(=O)c2cc3c(-c4ccc(Cl)cc4)nn(C)c3s2)C1,0,1,1,1,1,1,1,1,1
Cc1ccc2nsnc2c1S(=O)(=O)NC1CC1,1,1,1,1,1,1,1,1,1
O=C(c1ccccc1Nc1ccc(SC(F)F)cc1)N1CCCCCC1,1,1,1,1,1,1,1,1,1
COc1ccc(CNC(=O)C(OC(=O)c2ccco2)c2ccc(OC)cc2)cc1,1,1,1,1,1,1,1,1,1
Cc1ccc(SCCNC(=O)C(C)C)cc1,1,0,1,1,0,1,0,1,1
COC1=C(OC)c2ccccc2C(C(=O)O)N/C1=C(/C)Nc1ccncc1,1,1,1,1,0,1,1,1,1
CCN(CC)C(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1,1,1,1,1,1,1,0,1
COc1ccc(C(=O)Nc2cccc(-c3nc4ncccc4o3)c2C)cc1OC,0,1,0,1,0,1,0,1,0
Cc1ccc(N2C(=O)CC(Sc3ccccc3C(=O)O)C2=O)cc1C,1,1,1,1,1,1,1,1,1
O=C1C2CC=CCC2C(=O)N1Cc1ccccc1,1,1,1,1,1,1,1,1,1
O=C(O)CCCCCN1C(=O)CCC1=O,1,0,1,1,1,1,1,1,1
Cc1ccc(-c2cccc(NC(=O)C3C4C=CC(C4)C3C(=O)O)c2)o1,1,1,1,1,1,1,1,1,1
O=C(Cn1cc(C(=O)c2cccs2)c2ccccc21)NC1CCCCC1,1,1,1,1,1,1,1,1,1
COc1cccc(NC(=O)CN(c2ccc(C)cc2)S(=O)(=O)c2c(C)nn(C)c2C)c1,1,1,1,0,0,1,1,1,1
COc1ccc(C(=O)N2CCCC2=O)cc1,1,0,1,1,1,1,0,1,0
CCn1c(COc2ccc3c(c2)CCCC3)nnc1SCC(=O)Nc1nccs1,1,0,1,1,1,1,1,1,0
Cc1cc(C)n(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,1,1,0,0,1,1,0,1,1
COc1ccc(CN2C(=O)CCCc3ccccc32)cc1,1,1,1,1,1,1,1,1,1
COc1ccccc1Oc1ccc(S(=O)(=O)N2CCOCC2)cc1S(=O)(=O)N1CCOCC1,1,1,1,1,0,1,1,1,1
Cc1cccc(Sc2c([N+](=O)[O-])ncn2C)n1,1,1,1,1,1,0,1,1,1
O=C1CC(C(=O)N(c2cccc(F)c2)C(C(=O)NC2CCCC2)c2ccccn2)CS1,1,1,1,1,1,0,1,1,1
O=C(O)C1C2C=CC(C2)C1C(=O)N1CCN(C/C=C/c2ccccc2)CC1,1,1,1,1,1,1,1,1,1
CN(C)C(=O)c1cc(S(=O)(=O)N(C)C)c(Cl)cc1N1CCCC1,0,0,1,1,0,1,1,1,1
COc1ccc(-c2ccc(-c3nnn(CC(=O)N4CCOCC4)n3)cc2)cc1,1,0,1,1,1,1,1,1,1
CCOC(=O)c1ccc2nc(NC(=O)c3ccco3)sc2c1,1,1,0,0,1,1,1,1,0
COc1ccc2cc(S(=O)(=O)N3CCN(C)CC3)ccc2c1,0,1,1,1,0,1,0,1,1
O=C1N(c2ccccc2)C2CS(=O)(=O)CC2N1c1ccc(Cl)c(Cl)c1,1,1,1,1,1,1,1,1,1
CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1ccsc1,1,1,1,1,1,0,1,1,1
Cc1cc(C)c(NC(=O)CSc2nnc(-c3ccncc3)n2Cc2ccco2)c(C)c1,0,1,1,1,1,1,0,1,1
Cc1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)Nc4nccs4)cc2)C3=O)cc1,1,1,1,1,1,0,1,1,1
CCNc1nc(NCC)nc(SCCOC(=O)c2ccccc2)n1,1,1,1,1,1,1,1,1,1
COc1ccccc1OC1=NS(=O)(=O)c2ccccc21,1,1,1,1,1,0,1,1,1
CCC(=O)Nc1sc2c(c1C#N)CC(C)(C)NC2(C)C,1,1,1,1,1,1,0,1,1
COc1ccc2c(c1)C(=O)OC2CC(=O)O,1,1,1,1,1,1,1,1,1
COC(=O)c1cn(NC(=O)C2COc3ccccc3O2)c(=O)c2ccccc12,1,1,1,1,1,1,0,1,1
CC1=NN(c2ccccc2)C(=O)/C1=C/Nn1c(C)nc2ccccc2c1=O,1,1,1,1,1,0,1,1,1
CC(C(=O)N1CCCCC1)n1ncn2cccc2c1=O,1,1,0,1,1,1,1,1,1
CS(=O)(=O)N1CCc2cc(-c3csc(NCC4CCCO4)n3)ccc21,0,1,0,1,0,1,0,1,1
CCC(CC)C(=O)Nc1nnc(-c2cccs2)s1,0,1,1,1,0,1,1,1,1
CC(C)CCNC(=O)c1cccc(Cl)c1,0,0,1,1,1,1,1,1,1
O=C(CCOc1ccccc1)OCC(=O)c1cc2ccccc2o1,1,1,1,1,1,1,0,1,1
CCCc1cc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)no1,0,1,1,1,1,1,1,1,1
O=c1c(-c2ccco2)[n+]([O-])c2ccccc2n1OCc1ccccc1F,1,1,1,1,1,1,1,1,1
COc1ccc(-n2nc3c(c2NC(=O)c2cc(Br)ccc2Cl)CS(=O)C3)cc1,0,1,1,1,1,1,1,1,1
COc1ccc(-c2c(C)nn(-c3ccccc3)c2N)cc1,1,1,1,1,1,0,1,1,1
Cc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3cccs3)cc2)cc1,1,1,1,1,1,1,1,1,1
O=C(C1CCCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])C1)N1CCN(c2ccccc2)CC1,1,1,1,1,1,1,1,1,1
CCOC(=O)Cc1csc(NC(=O)/C=C\c2ccccc2)n1,1,1,1,1,1,1,1,1,1
O=C(Nc1ccccc1)N(C1=NCCC1)c1ccc(OC(F)F)cc1,0,1,1,0,1,1,0,1,1
CCOC(=O)CC(=O)CSc1nc(C)cc(C)c1C#N,1,1,1,1,1,1,1,1,1
COC(=O)c1onc(C(=O)c2ccccc2)c1C(=O)OC,1,1,1,1,1,1,1,0,1
C=CCNC(=O)CCCc1ccccc1,1,0,1,1,1,1,0,1,1
CCOC(=O)C1=C(CSc2nc(-c3ccccc3)ccc2C#N)OC(N)=C(C#N)C1c1ccc(OC)cc1,1,1,1,1,1,1,1,1,1
Cn1nc(C(=O)Nc2c(-c3ccccc3)nc3sccn23)c2ccccc2c1=O,0,1,0,0,0,0,1,1,1
COc1ccc(S(=O)(=O)NC2=NC(=O)/C(=C\c3cc(OC)c(OC)cc3[N+](=O)[O-])S2)cc1,1,1,1,1,1,1,1,1,1
Cc1noc(C)c1COC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,1,1,1,1,1,1,1,1,1
COc1ccc(C=C(c2nc3ccccc3s2)c2nc3ccccc3s2)cc1O,1,1,1,1,1,1,1,1,1
CC12CCCCC1=NC(c1ccc(Br)cc1)N2O,0,1,1,1,1,1,1,1,1
CCOC(=O)Cc1c(C)c2c(O)cc(O)cc2oc1=O,1,1,1,1,1,1,0,1,1
O=C(COc1ccccc1O)Nc1ccc(Cl)cc1,1,1,1,1,1,1,1,1,1
Cn1c(Cl)cnc1C1CC(=O)c2cc(Cl)ccc2O1,0,1,1,1,1,1,0,1,1
CCCN(c1ccc(OCC)cc1)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCC(=O)O,1,1,1,1,1,1,1,1,1
COc1ccccc1N1CCN(C(=O)Oc2ccccc2)CC1,1,1,1,1,1,1,1,1,1
CCOc1ccc(N2C(=O)CC(Sc3nnnn3-c3ccccc3)C2=O)cc1,1,1,1,1,1,1,1,1,1
CC1CCc2sc(C(=O)NCc3ccc(F)cc3)cc2C1,1,1,1,1,1,0,1,1,1
CCOC(=O)/C(=C/c1c[nH]c2ccccc12)NC(C)=O,1,1,1,1,1,0,1,1,1
COc1cccc(C(=O)n2c(SC)nc3cc4c(cc32)OCCO4)c1,1,1,1,1,1,0,1,1,1
CN(C)c1cccc(C(=O)Nc2cccc(F)c2)c1,1,1,1,0,1,1,1,1,1
Cc1ccc(S(=O)(=O)N(C)Cc2cc3ccccc3[nH]c2=O)cc1,0,1,0,0,1,1,1,0,0
CCOC(=O)c1cnc2ccc(C(=O)OC)cc2c1NCc1ccco1,1,1,1,0,1,1,1,1,1
CS(=O)(=O)N(CC(=O)Nc1ccccc1)Cc1ccc(Cl)cc1,1,1,1,1,1,1,1,1,1
O=C(c1ccc(CNc2c(N3CCOCC3)c(=O)c2=O)cc1)N1CC=C(c2ccccc2)CC1,0,1,1,1,1,1,1,1,1
COCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCC(C)C,1,0,1,1,1,1,1,1,0
CC1(C)NC(=O)N(CC(O)CN2C(=O)NC(C)(C)C2=O)C1=O,1,0,1,1,1,1,1,1,1
Cc1ccc(Cn2nnnc2CN2CCC(NC(=O)c3ccccc3F)CC2)cc1,1,1,1,1,1,1,1,1,1
COC(=O)c1[nH]c2ccccc2c1NC(=O)CN1CCC(C(N)=O)(N2CCCCC2)CC1,1,1,0,1,1,1,1,1,1
CCOc1cc(/C=N/NC(=O)c2ccc(NC(=O)C(C)(C)C)cc2)ccc1OC(=O)c1cccc(C)c1,1,1,1,1,1,0,1,1,1
O=C1CC(c2ccco2)Cc2nc(N3CCc4ccccc4C3)ncc21,1,1,0,1,0,0,1,0,1
COc1ccc(CC(=O)OCC(=O)Nc2ccc(Cl)cn2)cc1,1,1,1,1,1,1,1,1,1
CSc1nc2ccccc2n1Cc1cccc(F)c1,1,1,0,1,1,1,0,1,1
N#CC(C(=O)OC1CCCCC1)c1nc2ccccc2nc1N1CCOCC1,1,0,1,0,1,0,1,0,1
Cc1ccc(Cn2c(SCCN3CCCCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,0,1,1,0,1,1,1,0,1
COc1ccccc1OCC(=O)OCC(=O)NCCN1C(=O)CSC1=O,1,1,1,1,1,1,1,0,1
O=C(CCCc1c[nH]c2ccccc12)NCc1ccc2c(c1)OCO2,1,1,1,1,1,1,1,1,1
CCCOC1OC(=O)c2c1ccc(OC)c2OC,1,1,1,1,1,1,1,1,1
CCOC(=O)c1ccc(N2C(=O)c3n[nH]c(C)c3C2c2ccco2)cc1,1,0,0,1,0,1,1,0,0
CCCc1nc(N2CCOCC2)c(C#N)c2c1CCCC2,1,0,1,1,1,1,1,1,1
COc1ccc(C2=NCC(=O)N(CC(=O)NCc3ccco3)c3sc4c(c32)CCCC4)cc1,0,1,1,0,0,0,1,1,1
COc1ccc(N2C(=O)C3CCCN3C2c2cccc(Br)c2)cc1,0,1,1,1,1,1,1,1,1
c1csc(-c2nnc3ccccn23)c1,1,0,0,1,1,1,1,1,1
CN(c1ccccc1)S(=O)(=O)c1ccc(C(=O)OCC(=O)NCc2ccco2)cc1,1,1,1,1,0,1,0,0,1
Cc1cc(NC(=O)CSc2ccc3nnc(-c4cccnc4)n3n2)no1,1,0,0,1,1,1,1,1,1
O=C(O)c1ccccc1SC1CC(=O)N(c2ccccc2)C1=O,1,1,1,1,1,1,1,1,1
O=C(CC(=O)NN=C1CCCCCC1)NCc1cccnc1,1,1,1,1,1,1,1,1,1
CCCCCC1CC(=O)N(Cc2ccc(Cl)cc2)C(=O)N1,1,1,1,1,1,0,1,1,1
CCCn1c(SCC(=O)Nc2cccc(C)n2)nnc1C(C)C,1,1,1,1,1,1,1,1,1
O=C1CCCc2ccccc2N1Cc1cccc(Cl)c1,1,1,1,1,1,0,1,1,1
COc1cccc(C(=O)Nc2ccc(NC(C)=O)cn2)c1,1,0,1,0,1,1,1,1,0
Cn1c(=O)[nH]c(=O)c2[nH]c(NCCCN3CCOCC3)nc21,1,1,1,1,1,1,1,1,1
COC(=O)c1ccc(CC(=O)c2ccc(O)cc2O)o1,1,1,1,1,0,1,1,0,1
O=C(Cc1cccs1)N1CCN(C(=O)C2CCCO2)CC1,1,0,1,1,1,1,0,0,1
O=C(NCc1ccco1)C1CCCN(S(=O)(=O)c2ccc(-n3cnnn3)cc2)C1,1,0,0,1,1,1,1,1,1
COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cccc3cccnc23)cc1,1,1,1,1,1,1,1,0,1
Nc1cc(C(=O)N2CCCC2)cc(C(=O)N2CCCC2)c1,1,1,1,0,1,1,1,0,1
Cc1c(NC(=O)NCc2ccccc2)c(=O)n(-c2ccccc2)n1C,1,0,1,1,1,1,1,1,1
Cc1ccccc1Cn1c(=O)n(Cc2ccco2)c(=O)c2ccccc21,0,1,1,0,1,1,1,1,0
CC(C)Oc1ccccc1OCCCOc1cccc2cccnc12,1,1,1,1,1,1,1,1,1
CC(C)N(C(=O)CSc1nc2c([nH]1)c(=O)n(C)c(=O)n2C)c1ccccc1,1,1,0,1,1,1,0,1,0
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)c1ccc2c(c1)OCO2,1,1,1,1,1,1,1,1,1
